ノマゲ帯,ハード帯,ver,曲名,BPM,ノーツ数,譜面傾向,属性,適正CPI_EC,適正CPI_CL
地力E,地力F,11,gigadelic,173,1301,トリル・皿・ラス殺し,PEAK,1385.31,1426.31
地力E,地力E,30,glacia,186,1492,CN,NOTES,1272.25,1390.63
地力E,地力E,30,Hat Surprise (Season 2),180,1729,連皿・同時押し,NOTES,1320.17,1424.09
地力E,地力E,21,invoker,195,1624,乱打・軸,NOTES,1267.15,1382.57
地力E,地力C,31,JUSTICE/GUILTY feat. Nana Takahashi & 709sec.,183,1959,皿複合・物量,CHORD,1361.86,1472.18
地力E,地力D,30,KING(L),166,1983,同時押し,CHORD,1323.03,1433.02
地力E,地力E,14,LASER CRUSTER,152,1644,螺旋・階段・皿複合,NOTES,1312.41,1412.92
地力E,地力D,20,Liberation,150,1905,高速トリル・乱打,NOTES,1377.20,1472.36
地力E,地力E,27,LIGHTNING STRIKES,174,1639,CN,NOTES,1300.58,1390.87
地力E,地力E,20,Little Star,183,1635,乱打・階段,NOTES,1310.94,1409.07
地力E,地力E,9,moon_child,130-160(146),1300,階段・同時押し・ラス殺し,PEAK,1348.06,1447.94
地力E,地力E,23,NINJA IS DEAD IIDX ver.,111-222(222),1520,ソフラン・同時押し,NOTES,1241.70,1377.71
地力E,地力D,26,Please Welcome Mr.C,230,1522,ハネリズム・皿複合,CHORD,1289.13,1435.98
地力E,地力E,25,Raspberry Railgun,142,1606,皿絡み・二重階段,NOTES,1244.93,1353.67
地力E,地力E,11,RED ZONE(L),165,1566,乱打,NOTES,1302.70,1407.82
地力E,地力E,31,Sirius,165,1637,CN・BSS,CHORD,1344.67,1452.96
地力E,地力D,24,Summerlights(IIDX Edition),175,1580,乱打・CN,PEAK,1304.79,1421.51
地力E,地力E,24,Sweet Clapper(L),162,1485,CN・同時押し・ラス殺し,CHORD,1302.84,1410.91
地力E,地力E,22,Symmetry,163,1659,対称,NOTES,1278.94,1377.86
地力E,個人差E,31,The Onlyonez,220,1587,CN・皿絡み,CHORD,,
地力E,地力D,19,Todestrieb,185,1733,階段・CN,NOTES,1306.79,1390.77
地力E,地力D,14,VANESSA,185,1228,皿・二重階段,NOTES,1316.71,1414.39
地力E,地力E,24,Venom,190,1624,トリル,CHORD,1257.94,1402.66
地力E,地力E,20,ΕΛΠΙΣ,175,1600,乱打,NOTES,1299.65,1378.03
地力E,地力E,18,黒髪乱れし修羅となりて,150,1745,開幕縦連・トリル・乱打,NOTES,1316.99,1407.37
地力E,個人差B+,32,灼熱 Lost Summer Dayz,168,1453,連皿・CN,SCRATCH,,
地力E,地力D,31,終焔のClaudia,90-185(185),1406,軸,NOTES,1401.13,1494.22
地力E,地力D,15,少年A,90-192(90),1449,ソフラン・階段・皿複合・後半難,PEAK,1380.85,1475.44
地力E,地力F,22,千年ノ理,153,1608,乱打,CHORD,1263.88,1342.07
地力E,地力E,31,《PL|RAYER》,180,1420,CN・トリル,CHORD,1330.08,1427.69
地力E,地力E,22,紅牡丹,181,1445,乱打,NOTES,1260.81,1366.65
個人差E,個人差C,13,DUE TOMORROW,100-400(400),1073,トリル・序盤難・終盤難,PEAK,1418.24,1533.55
個人差E,地力E,14,GRID KNIGHT(L),160,1744,物量・縦連,CHORD,1301.45,1437.28
個人差E,個人差D,15,ICARUS,126-251(176),1301,ソフラン・中盤加速発狂・トリル,SOF-LAN,1265.04,1447.98
個人差E,個人差E,10,Innocent Walls(H),155,1281,縦連・壁,PEAK,1165.80,1390.49
個人差E,個人差D,10,Innocent Walls,155,1446,縦連・壁,PEAK,1264.94,1433.55
個人差E,個人差D,9,one or eight,155,1177,序盤発狂・皿・縦連打,PEAK,1237.45,1413.86
個人差E,個人差E,12,SCREAM SQUAD,220,1073,連皿・皿複合・トリル,PEAK,1281.71,1428.91
個人差E,地力E,24,Steel Edge,177,1604,HCN,CHARGE,1156.41,1293.06
個人差E,個人差D,15,TROOPERS,177,1496,皿複合・同時押し,CHORD,1366.35,1446.73
個人差E,個人差E,10,雪月花,151,1287,乱打・縦連・皿複合・ラス殺し,PEAK,1285.39,1398.53
地力F,地力F,7,A,93-191(93),1260,ソフラン・同時押し・階段,PEAK,1218.00,1344.80
地力F,地力F,27,Primitive Vibes,150,1564,縦連・CN,NOTES,1128.15,1258.38
地力F,地力F,15,Ristaccia,160,1386,同時押し・階段,PEAK,1238.09,1348.88
地力F,地力F,14,snow storm(L),145,1709,二重階段・ラス殺し,NOTES,1299.50,1382.08
地力F,地力F,18,SPECIAL SUMMER CAMPAIGN!,168,1509,同時押し・乱打・デニム,NOTES,1170.56,1281.46
地力F,地力F,31,残像ニ繋ガレタ追憶ノHIDEAWAY,160,1789,乱打,CHORD,1245.01,1370.41
地力F,地力F,32,スパークリング☆彡ハイパーチューン！！,177,1843,皿同時押し・X譜面,CHORD,,
個人差F,個人差E,18,sakura storm,184,1225,CN,NOTES,1202.76,1320.80
